0,1,2,3,4,5,6,7,8
Start Date,1989-12-31 00:00:00,,,,,,,
End Date,,,,,,,,
,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Richmond Fed Index
,IP Index,CFNAI Index,NAPMPMI Index,NAPMPMI Index,NAPMNMI Index,NAPMNPRC Index,MTSLRRT$ Index,RCHSINDX Index
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2011-02-28 00:00:00,93.1102,-0.38,59.2,59.2,55.8,70.9,337591,15
2011-03-31 00:00:00,94.0788,0.41,58.4,58.4,55.2,71,337113,4
2011-04-30 00:00:00,93.7749,-0.48,57.9,57.9,55,70.3,334391,-1
2011-05-31 00:00:00,93.888,-0.34,54.8,54.8,54.2,62.4,336979,6
2011-06-30 00:00:00,94.172,0.01,55.8,55.8,53.5,60.7,335955,6
2011-07-31 00:00:00,94.636,0.17,52.9,52.9,53.5,61.3,335962,1
2011-08-31 00:00:00,95.2749,0.01,52.6,52.6,52.3,60.9,338752,-2
2011-09-30 00:00:00,95.1961,-0.27,53.7,53.7,52.8,57.7,341077,-1
2011-10-31 00:00:00,95.8568,0.16,51.4,51.4,52.9,63.4,342270,-2
2011-11-30 00:00:00,95.8485,-0.35,51.8,51.8,52.6,62.2,343631,-5
2011-12-31 00:00:00,96.3571,0.27,53,53,57.3,63.8,345006,6
2012-01-31 00:00:00,96.9318,0.36,54.2,54.2,55.9,65.4,348123,7
2012-02-29 00:00:00,97.2435,0,53.3,53.3,55.6,63.7,348820,4
2012-03-31 00:00:00,96.74,-0.39,53.5,53.5,55.3,58.7,346487,12
2012-04-30 00:00:00,97.4359,0.06,55.2,55.2,55.1,54,348043,7
2012-05-31 00:00:00,97.6609,-0.17,53.2,53.2,53.6,48.5,346636,-1
2012-06-30 00:00:00,97.6663,-0.32,49.5,49.5,52.1,52.8,348318,-7
2012-07-31 00:00:00,97.8713,-0.28,49.6,49.6,52.1,62.1,350013,-6
2012-08-31 00:00:00,97.4525,-0.45,49,49,53.8,65,350574,5
2012-09-30 00:00:00,97.381,-0.11,50.8,50.8,54.3,60.9,350088,-1
2012-10-31 00:00:00,97.7193,-0.26,50.5,50.5,53.9,58.3,353145,1
2012-11-30 00:00:00,98.0777,0.28,48,48,55.7,58.3,355525,1
2012-12-31 00:00:00,98.3101,0.14,50.1,50.1,55.9,60,357747,-14
2013-01-31 00:00:00,98.3342,-0.33,53.3,53.3,56.6,59.9,360123,2
2013-02-28 00:00:00,98.7941,0.23,54.2,54.2,55.9,55.6,359937,2
2013-03-31 00:00:00,99.1921,-0.26,51.9,51.9,54.3,53.8,360382,-7
2013-04-30 00:00:00,99.1065,-0.29,51,51,54.8,53,363591,-3
2013-05-31 00:00:00,99.1839,0.14,50.8,50.8,53.6,53.7,363897,6
2013-06-30 00:00:00,99.3897,-0.14,51.1,51.1,55.2,55.3,366171,-1
2013-07-31 00:00:00,99.0814,-0.52,53.8,53.8,55.3,53.5,364581,8
2013-08-31 00:00:00,99.6543,0.3,54,54,53.6,56.4,365511,1
2013-09-30 00:00:00,100.161,0.1,54.6,54.6,53.9,56.2,366952,2
2013-10-31 00:00:00,100.082,0.01,54.6,54.6,53.1,53.2,367226,10
2013-11-30 00:00:00,100.3158,0.3,55.5,55.5,53.5,56.9,369462,13
2013-12-31 00:00:00,100.5175,-0.15,56.5,56.5,55.2,60,365254,7
2014-01-31 00:00:00,100.1599,-0.7,52.5,52.5,53.4,56.4,370631,-3
2014-02-28 00:00:00,100.9168,0.44,55,55,54.9,58.1,374982,-3
2014-03-31 00:00:00,101.8942,0.48,55.9,55.9,55.7,61,378325,6
2014-04-30 00:00:00,101.9928,0.05,56.6,56.6,56,58.5,379096,7
2014-05-31 00:00:00,102.3836,0.12,55.7,55.7,56.8,58.6,379995,6
2014-06-30 00:00:00,102.735,0.14,55,55,56.9,58.1,380457,5
2014-07-31 00:00:00,102.9632,0.3,55.1,55.1,58,57.7,384476,11
2014-08-31 00:00:00,102.7688,-0.23,56.3,56.3,57.3,55.1,383753,16
2014-09-30 00:00:00,103.0641,0.01,55.7,55.7,55.8,52,386034,21
2014-10-31 00:00:00,103.0764,0.04,56.2,56.2,58.2,54.5,390164,4
2014-11-30 00:00:00,103.7126,0.27,56.3,56.3,57.2,51.1,391028,6
2014-12-31 00:00:00,103.7044,0.06,55.7,55.7,56.2,47.3,396150,3
2015-01-31 00:00:00,102.8905,-0.26,53.9,53.9,57.6,50.9,393629,-2
2015-02-28 00:00:00,102.2335,-0.48,53,53,58.4,53.6,398507,-3
2015-03-31 00:00:00,101.8914,0.01,52.1,52.1,57.5,50.4,399680,-7
2015-04-30 00:00:00,101.3355,-0.01,51.9,51.9,56.7,53.7,400598,3
2015-05-31 00:00:00,100.8883,-0.34,52.9,52.9,55.7,52.3,400358,9
