Date,Industrial production,CFNAI Index,Manufacturing ISM,Manufacturing ISM - Price Paid,Service ISM,Service ISM - Price Paid,US Retail Sales,Industrial production_growth,US Retail Sales_growth,CFNAI Index_chg,Manufacturing ISM_chg,Manufacturing ISM - Price Paid_chg,Service ISM_chg,Service ISM - Price Paid_chg
2011-09-30,95.1961,-0.27,53.7,53.7,52.8,57.7,341077.0,-0.08274225944708267,0.6839982009167843,-0.28,1.1000000000000014,1.1000000000000014,0.5,-3.1999999999999957
2011-10-31,95.8568,0.16,51.4,51.4,52.9,63.4,342270.0,0.6916436587234633,0.3491641031697585,0.43000000000000005,-2.3000000000000043,-2.3000000000000043,0.10000000000000142,5.699999999999996
2011-11-30,95.8485,-0.35,51.8,51.8,52.6,62.2,343631.0,-0.008659124192387312,0.3968507951453272,-0.51,0.3999999999999986,0.3999999999999986,-0.29999999999999716,-1.1999999999999957
2011-12-31,96.3571,0.27,53.0,53.0,57.3,63.8,345006.0,0.529226190156129,0.399340095663962,0.62,1.2000000000000028,1.2000000000000028,4.699999999999996,1.5999999999999943
2012-01-31,96.9318,0.36,54.2,54.2,55.9,65.4,348123.0,0.5946556615738015,0.899405741772831,0.08999999999999997,1.2000000000000028,1.2000000000000028,-1.3999999999999986,1.6000000000000085
2012-02-29,97.2435,0.0,53.3,53.3,55.6,63.7,348820.0,0.3210503784291487,0.2000164238313565,-0.36,-0.9000000000000057,-0.9000000000000057,-0.29999999999999716,-1.7000000000000028
2012-03-31,96.74,-0.39,53.5,53.5,55.3,58.7,346487.0,-0.5191174823684342,-0.6710729951901695,-0.39,0.20000000000000284,0.20000000000000284,-0.30000000000000426,-5.0
2012-04-30,97.4359,0.06,55.2,55.2,55.1,54.0,348043.0,0.7167758505782871,0.4480735470938769,0.45,1.7000000000000028,1.7000000000000028,-0.19999999999999574,-4.700000000000003
2012-05-31,97.6609,-0.17,53.2,53.2,53.6,48.5,346636.0,0.23065483365497594,-0.40507973436649847,-0.23,-2.0,-2.0,-1.5,-5.5
2012-06-30,97.6663,-0.32,49.5,49.5,52.1,52.8,348318.0,0.0055291838529277345,0.48406176072804524,-0.15,-3.700000000000003,-3.700000000000003,-1.5,4.299999999999997
2012-07-31,97.8713,-0.28,49.6,49.6,52.1,62.1,350013.0,0.2096784200142982,0.4854441027648342,0.03999999999999998,0.10000000000000142,0.10000000000000142,0.0,9.300000000000004
2012-08-31,97.4525,-0.45,49.0,49.0,53.8,65.0,350574.0,-0.4288270469703259,0.1601514501144576,-0.16999999999999998,-0.6000000000000014,-0.6000000000000014,1.6999999999999957,2.8999999999999986
2012-09-30,97.381,-0.11,50.8,50.8,54.3,60.9,350088.0,-0.07339600552239395,-0.138725969994614,0.34,1.7999999999999972,1.7999999999999972,0.5,-4.100000000000001
2012-10-31,97.7193,-0.26,50.5,50.5,53.9,58.3,353145.0,0.34679632891861345,0.8694186013001234,-0.15000000000000002,-0.29999999999999716,-0.29999999999999716,-0.3999999999999986,-2.6000000000000014
2012-11-30,98.0777,0.28,48.0,48.0,55.7,58.3,355525.0,0.36609386281409545,0.671683279373689,0.54,-2.5,-2.5,1.8000000000000043,0.0
2012-12-31,98.3101,0.14,50.1,50.1,55.9,60.0,357747.0,0.23667469005938263,0.6230462398405032,-0.14,2.1000000000000014,2.1000000000000014,0.19999999999999574,1.7000000000000028
2013-01-31,98.3342,-0.33,53.3,53.3,56.6,59.9,360123.0,0.024511262335751804,0.6619607104893487,-0.47000000000000003,3.1999999999999957,3.1999999999999957,0.7000000000000028,-0.10000000000000142
2013-02-28,98.7941,0.23,54.2,54.2,55.9,55.6,359937.0,0.4666005179331894,-0.05166236261893827,0.56,0.9000000000000057,0.9000000000000057,-0.7000000000000028,-4.299999999999997
2013-03-31,99.1921,-0.26,51.9,51.9,54.3,53.8,360382.0,0.402048765132615,0.12355638449412436,-0.49,-2.3000000000000043,-2.3000000000000043,-1.6000000000000014,-1.8000000000000043
2013-04-30,99.1065,-0.29,51.0,51.0,54.8,53.0,363591.0,-0.08633445250438548,0.8865029540918525,-0.02999999999999997,-0.8999999999999986,-0.8999999999999986,0.5,-0.7999999999999972
2013-05-31,99.1839,0.14,50.8,50.8,53.6,53.7,363897.0,0.07806732341147295,0.08412510393199805,0.43,-0.20000000000000284,-0.20000000000000284,-1.1999999999999957,0.7000000000000028
2013-06-30,99.3897,-0.14,51.1,51.1,55.2,55.3,366171.0,0.20727838311219046,0.6229576845008135,-0.28,0.30000000000000426,0.30000000000000426,1.6000000000000014,1.5999999999999943
2013-07-31,99.0814,-0.52,53.8,53.8,55.3,53.5,364581.0,-0.31067520457494946,-0.4351688422822427,-0.38,2.6999999999999957,2.6999999999999957,0.09999999999999432,-1.7999999999999972
2013-08-31,99.6543,0.3,54.0,54.0,53.6,56.4,365511.0,0.5765462239130704,0.2547625512964499,0.8200000000000001,0.20000000000000284,0.20000000000000284,-1.6999999999999957,2.8999999999999986
2013-09-30,100.161,0.1,54.6,54.6,53.9,56.2,366952.0,0.5071694571082397,0.39346748138528664,-0.19999999999999998,0.6000000000000014,0.6000000000000014,0.29999999999999716,-0.19999999999999574
2013-10-31,100.082,0.01,54.6,54.6,53.1,53.2,367226.0,-0.07890413557397505,0.07464130298678766,-0.09000000000000001,0.0,0.0,-0.7999999999999972,-3.0
2013-11-30,100.3158,0.3,55.5,55.5,53.5,56.9,369462.0,0.2333360007728033,0.6070431081825766,0.29,0.8999999999999986,0.8999999999999986,0.3999999999999986,3.6999999999999957
2013-12-31,100.5175,-0.15,56.5,56.5,55.2,60.0,365254.0,0.20086317141123064,-1.1454891447754085,-0.44999999999999996,1.0,1.0,1.7000000000000028,3.1000000000000014
2014-01-31,100.1599,-0.7,52.5,52.5,53.4,56.4,370631.0,-0.3563932744874154,1.461395651711214,-0.5499999999999999,-4.0,-4.0,-1.8000000000000043,-3.6000000000000014
2014-02-28,100.9168,0.44,55.0,55.0,54.9,58.1,374982.0,0.7528506037615463,1.167106632727071,1.14,2.5,2.5,1.5,1.7000000000000028
2014-03-31,101.8942,0.48,55.9,55.9,55.7,61.0,378325.0,0.9638605074811821,0.8875589754715987,0.03999999999999998,0.8999999999999986,0.8999999999999986,0.8000000000000043,2.8999999999999986
2014-04-30,101.9928,0.05,56.6,56.6,56.0,58.5,379096.0,0.09672024963488438,0.20358565878098195,-0.43,0.7000000000000028,0.7000000000000028,0.29999999999999716,-2.5
2014-05-31,102.3836,0.12,55.7,55.7,56.8,58.6,379995.0,0.3824320971515534,0.23686235782291043,0.06999999999999999,-0.8999999999999986,-0.8999999999999986,0.7999999999999972,0.10000000000000142
2014-06-30,102.735,0.14,55.0,55.0,56.9,58.1,380457.0,0.3426313788952507,0.12150669781680898,0.020000000000000018,-0.7000000000000028,-0.7000000000000028,0.10000000000000142,-0.5
2014-07-31,102.9632,0.3,55.1,55.1,58.0,57.7,384476.0,0.2218785517998932,1.0508206554654382,0.15999999999999998,0.10000000000000142,0.10000000000000142,1.1000000000000014,-0.3999999999999986
2014-08-31,102.7688,-0.23,56.3,56.3,57.3,55.1,383753.0,-0.18898378264741095,-0.18822518115249628,-0.53,1.1999999999999957,1.1999999999999957,-0.7000000000000028,-2.6000000000000014
2014-09-30,103.0641,0.01,55.7,55.7,55.8,52.0,386034.0,0.28693197501494605,0.5926332026888,0.24000000000000002,-0.5999999999999943,-0.5999999999999943,-1.5,-3.1000000000000014
2014-10-31,103.0764,0.04,56.2,56.2,58.2,54.5,390164.0,0.01193360840263373,1.0641715066153312,0.03,0.5,0.5,2.4000000000000057,2.5
2014-11-30,103.7126,0.27,56.3,56.3,57.2,51.1,391028.0,0.6153151350189172,0.2212005121131742,0.23,0.09999999999999432,0.09999999999999432,-1.0,-3.3999999999999986
2014-12-31,103.7044,0.06,55.7,55.7,56.2,47.3,396150.0,-0.007906777172807642,1.301375873665163,-0.21000000000000002,-0.5999999999999943,-0.5999999999999943,-1.0,-3.8000000000000043
2015-01-31,102.8905,-0.26,53.9,53.9,57.6,50.9,393629.0,-0.7879228487476458,-0.6384086085518006,-0.32,-1.8000000000000043,-1.8000000000000043,1.3999999999999986,3.6000000000000014
2015-02-28,102.2335,-0.48,53.0,53.0,58.4,53.6,398507.0,-0.6405903226315237,1.2316222622278712,-0.21999999999999997,-0.8999999999999986,-0.8999999999999986,0.7999999999999972,2.700000000000003
2015-03-31,101.8914,0.01,52.1,52.1,57.5,50.4,399680.0,-0.3351872508375763,0.29391629892012033,0.49,-0.8999999999999986,-0.8999999999999986,-0.8999999999999986,-3.200000000000003
2015-04-30,101.3355,-0.01,51.9,51.9,56.7,53.7,400598.0,-0.5470746111495662,0.2294203770809155,-0.02,-0.20000000000000284,-0.20000000000000284,-0.7999999999999972,3.3000000000000043
2015-05-31,100.8883,-0.34,52.9,52.9,55.7,52.3,400358.0,-0.44228298448434067,-0.05992838737280011,-0.33,1.0,1.0,-1.0,-1.4000000000000057
2015-06-30,100.571,-0.14,52.5,52.5,60.1,52.5,403861.0,-0.3150018513620207,0.8711612518898207,0.2,-0.3999999999999986,-0.3999999999999986,4.399999999999999,0.20000000000000284
2015-07-31,101.2228,0.35,52.0,52.0,58.6,51.1,405295.0,0.6460082190607669,0.3544437664140881,0.49,-0.5,-0.5,-1.5,-1.3999999999999986
2015-08-31,101.0367,-0.28,50.2,50.2,56.1,48.4,407308.0,-0.18402107442869045,0.49544589860021915,-0.63,-1.7999999999999972,-1.7999999999999972,-2.5,-2.700000000000003
2015-09-30,100.7547,-0.12,50.1,50.1,56.9,48.3,406884.0,-0.2794967313555192,-0.10415234694730001,0.16000000000000003,-0.10000000000000142,-0.10000000000000142,0.7999999999999972,-0.10000000000000142
2015-10-31,100.2675,-0.26,49.1,49.1,56.1,48.8,409357.0,-0.4847235319528369,0.6059503423319864,-0.14,-1.0,-1.0,-0.7999999999999972,0.5
